task,task_name,step,n,accuracy,correct,seconds,peak_mem_gb,source
hellaswag,HellaSwag,4,100,0.760000,76,44.772581,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
hellaswag,HellaSwag,6,100,0.760000,76,64.110398,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
hellaswag,HellaSwag,8,100,0.760000,76,90.384561,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
hellaswag,HellaSwag,10,100,0.780000,78,108.203371,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
hellaswag,HellaSwag,12,100,0.780000,78,136.102225,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
hellaswag,HellaSwag,14,100,0.780000,78,153.755340,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
hellaswag,HellaSwag,16,100,0.780000,78,181.352301,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
hellaswag,HellaSwag,18,100,0.770000,77,198.274966,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
hellaswag,HellaSwag,20,100,0.770000,77,226.634607,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
hellaswag,HellaSwag,22,100,0.770000,77,243.675606,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
hellaswag,HellaSwag,24,100,0.770000,77,271.789872,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
hellaswag,HellaSwag,32,100,0.770000,77,340.844601,16.173502,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
hellaswag,HellaSwag,40,100,0.770000,77,254.905649,16.173503,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,2,100,0.410000,41,30.130048,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,4,100,0.430000,43,59.691946,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,6,100,0.420000,42,87.725077,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,8,100,0.410000,41,117.510913,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,10,100,0.400000,40,143.925487,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,12,100,0.440000,44,172.323918,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,14,100,0.440000,44,198.992167,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,16,100,0.440000,44,225.907259,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
